file,before_title,after_title,before_meta_description,after_meta_description,before_canonical,after_canonical
index.html,Refined Medical Aesthetics | Nurse-Led Aesthetic Clinic in Seaton Delaval & Whitley Bay,Refined Medical Aesthetics | Seaton Delaval Clinic Near Whitley Bay,"Premium nurse-led aesthetic clinic in Seaton Delaval near Whitley Bay, serving Cramlington, Tynemouth, North Shields, Monkseaton and Blyth with anti-wrinkle treatment, fillers, skin boosters and natural-looking results.","Nurse-led aesthetic clinic in Seaton Delaval near Whitley Bay, serving North Tyneside with anti-wrinkle treatment, dermal fillers, skin boosters and natural-looking results.",https://refinedmedicalaesthetics.uk/,https://refinedmedicalaesthetics.uk/
about.html,About Nurse Rachel | Refined Medical Aesthetics | Seaton Delaval & Whitley Bay,About Nurse Rachel | Refined Medical Aesthetics Near Whitley Bay,"Meet Nurse Rachel, NMC-registered aesthetic nurse and founder of Refined Medical Aesthetics in Seaton Delaval near Whitley Bay.","Meet Nurse Rachel, the NMC-registered aesthetic nurse behind Refined Medical Aesthetics in Seaton Delaval near Whitley Bay.",https://refinedmedicalaesthetics.uk/about,https://refinedmedicalaesthetics.uk/about
treatments.html,"Anti-Wrinkle Treatment, Fillers & Skin Boosters | Refined Medical Aesthetics",Aesthetic Treatments Near Whitley Bay | Refined Medical Aesthetics,"Explore anti-wrinkle treatment, dermal fillers, skin boosters, microneedling and more at Refined Medical Aesthetics in Seaton Delaval near Whitley Bay, serving North Tyneside and nearby areas.","Explore nurse-led aesthetic treatments in Seaton Delaval near Whitley Bay, including anti-wrinkle treatment, dermal fillers, skin boosters and microneedling.",https://refinedmedicalaesthetics.uk/treatments,https://refinedmedicalaesthetics.uk/treatments
gallery.html,Results Gallery | Refined Medical Aesthetics | Seaton Delaval & Whitley Bay,Gallery | Refined Medical Aesthetics Near Whitley Bay,"View real aesthetic treatment results from Refined Medical Aesthetics in Seaton Delaval near Whitley Bay, including lip filler, skin treatment and profile balancing examples with consultation-led context.","View real treatment results from Refined Medical Aesthetics in Seaton Delaval near Whitley Bay, including lip filler, skin treatment and profile balancing examples.",https://refinedmedicalaesthetics.uk/gallery,https://refinedmedicalaesthetics.uk/gallery
testimonials.html,Client Reviews | Refined Medical Aesthetics | Seaton Delaval & Whitley Bay,Client Reviews | Refined Medical Aesthetics Near Whitley Bay,"Read client reviews for Refined Medical Aesthetics in Seaton Delaval near Whitley Bay, with feedback on anti-wrinkle treatment, dermal fillers, skin boosters, consultation and aftercare.","Read client reviews for Refined Medical Aesthetics in Seaton Delaval near Whitley Bay, with feedback on consultation, aftercare and natural-looking results.",https://refinedmedicalaesthetics.uk/testimonials,https://refinedmedicalaesthetics.uk/testimonials
contact.html,Book Aesthetic Consultation | Refined Medical Aesthetics | Seaton Delaval & Whitley Bay,Contact Refined Medical Aesthetics | Seaton Delaval Near Whitley Bay,"Book an aesthetic consultation with Refined Medical Aesthetics in Seaton Delaval near Whitley Bay. Nurse-led clinic serving Cramlington, Tynemouth, North Shields, Monkseaton and Blyth.","Book an aesthetic consultation with Refined Medical Aesthetics in Seaton Delaval near Whitley Bay, serving Whitley Bay and nearby North Tyneside areas.",https://refinedmedicalaesthetics.uk/contact,https://refinedmedicalaesthetics.uk/contact
faq.html,Aesthetic Clinic FAQ | Refined Medical Aesthetics | Seaton Delaval & Whitley Bay,Aesthetic Clinic FAQ | Refined Medical Aesthetics Near Whitley Bay,"Frequently asked questions about booking, anti-wrinkle treatment, filler, skin boosters, microneedling, aftercare and skincare at Refined Medical Aesthetics in Seaton Delaval near Whitley Bay.","Frequently asked questions about booking, anti-wrinkle treatment, filler, skin boosters, microneedling and aftercare at Refined Medical Aesthetics in Seaton Delaval near Whitley Bay.",https://refinedmedicalaesthetics.uk/faq,https://refinedmedicalaesthetics.uk/faq
anti-wrinkle-treatment-whitley-bay-seaton-delaval.html,Anti-Wrinkle Treatment in Seaton Delaval & Whitley Bay | Refined Medical Aesthetics,Anti-Wrinkle Treatment Near Whitley Bay | Refined Medical Aesthetics,"Nurse-led anti-wrinkle treatment in Seaton Delaval near Whitley Bay. Natural-looking results, honest consultation, tailored treatment planning and safe prescribing.","Nurse-led anti-wrinkle treatment in Seaton Delaval near Whitley Bay with consultation-led planning, safe prescribing and natural-looking results.",https://refinedmedicalaesthetics.uk/anti-wrinkle-treatment-whitley-bay-seaton-delaval,https://refinedmedicalaesthetics.uk/anti-wrinkle-treatment-whitley-bay-seaton-delaval
dermal-fillers-whitley-bay-seaton-delaval.html,Dermal Fillers in Seaton Delaval & Whitley Bay | Refined Medical Aesthetics,Dermal Fillers Near Whitley Bay | Refined Medical Aesthetics,"Nurse-led dermal fillers in Seaton Delaval near Whitley Bay, with consultation-led treatment planning for lips, cheeks, profile balancing and natural-looking facial harmony.","Nurse-led dermal fillers in Seaton Delaval near Whitley Bay, with consultation-led treatment planning for lips, cheeks and balanced facial harmony.",https://refinedmedicalaesthetics.uk/dermal-fillers-whitley-bay-seaton-delaval,https://refinedmedicalaesthetics.uk/dermal-fillers-whitley-bay-seaton-delaval
lip-filler-whitley-bay-seaton-delaval.html,Lip Filler in Seaton Delaval & Whitley Bay | Refined Medical Aesthetics,Lip Filler Near Whitley Bay | Refined Medical Aesthetics,"Nurse-led lip filler in Seaton Delaval near Whitley Bay, focused on balanced, natural-looking enhancement with consultation-led treatment planning.","Nurse-led lip filler in Seaton Delaval near Whitley Bay, focused on balanced, natural-looking enhancement with consultation-led treatment planning.",https://refinedmedicalaesthetics.uk/lip-filler-whitley-bay-seaton-delaval,https://refinedmedicalaesthetics.uk/lip-filler-whitley-bay-seaton-delaval
cheek-filler-whitley-bay-seaton-delaval.html,Cheek Filler in Seaton Delaval & Whitley Bay | Refined Medical Aesthetics,Cheek Filler Near Whitley Bay | Refined Medical Aesthetics,"Nurse-led cheek filler in Seaton Delaval near Whitley Bay, focused on subtle support, structure and balanced facial contour with consultation-led treatment planning.","Nurse-led cheek filler in Seaton Delaval near Whitley Bay, focused on subtle structure, support and balanced facial contour.",https://refinedmedicalaesthetics.uk/cheek-filler-whitley-bay-seaton-delaval,https://refinedmedicalaesthetics.uk/cheek-filler-whitley-bay-seaton-delaval
skin-boosters-whitley-bay-seaton-delaval.html,Skin Boosters in Seaton Delaval & Whitley Bay | Refined Medical Aesthetics,Skin Boosters Near Whitley Bay | Refined Medical Aesthetics,"Skin boosters in Seaton Delaval near Whitley Bay, including nurse-led Profhilo and Seventy Hyal treatment planning for hydrated, glowing skin.","Skin boosters in Seaton Delaval near Whitley Bay, including nurse-led treatment planning for hydrated, glowing skin and improved skin quality.",https://refinedmedicalaesthetics.uk/skin-boosters-whitley-bay-seaton-delaval,https://refinedmedicalaesthetics.uk/skin-boosters-whitley-bay-seaton-delaval
microneedling-whitley-bay-seaton-delaval.html,Microneedling in Seaton Delaval & Whitley Bay | Refined Medical Aesthetics,Microneedling Near Whitley Bay | Refined Medical Aesthetics,"Microneedling in Seaton Delaval near Whitley Bay with nurse-led treatment planning for skin texture, scarring, glow and overall skin quality.","Microneedling in Seaton Delaval near Whitley Bay with nurse-led treatment planning for texture, scarring, glow and overall skin quality.",https://refinedmedicalaesthetics.uk/microneedling-whitley-bay-seaton-delaval,https://refinedmedicalaesthetics.uk/microneedling-whitley-bay-seaton-delaval
